Timestamp,what's your age ,what's your degree ,what is your year of studies ,what is your major ,  How many hours do you sleep on average per night?  ,   How many hours do you spend on screens per day (excluding academic work)?  ,  Do you engage in regular physical activity ? ,"  How many caffeinated drinks (coffee, tea, energy drinks) do you consume per day?  ",  How many hours do you study per week outside of class?  ,do u have exams in the next two weeks ,  How would you rate your current academic workload?  ,"   On a scale from 1 to 10, how would you rate your current stress level?  "
15/04/2026 16:22:00,19,licence,2nd,Sociology,Less than 5 hours,More than 6 hours,yes,0,20–30 hours,no,moderate,4
15/04/2026 03:46:00,20,préparatoire intégrée,2nd,Computer science,More than 8 hours,More than 6 hours,no,0,10–20 hours,yes,moderate,5
26/02/2026 01:44:00,20,cycle d'ingénieur,3rd,Robotics,More than 8 hours,More than 6 hours,no,2,Less than 10 hours,yes,moderate,10
09/02/2026 02:07:00,21,licence,1st,Économie,Less than 5 hours,More than 6 hours,no,1,10–20 hours,yes,high,9
20/03/2026 15:47:00,19,préparatoire intégrée,2nd,Biology,More than 8 hours,4–6 hours,no,1,10–20 hours,no,moderate,4
23/02/2026 16:09:00,21,médecine,4th,General medicine,7–8 hours,2–4 hours,yes,1,20–30 hours,no,low,4
27/02/2026 00:21:00,23,cycle d'ingénieur,4th,Data science,Less than 5 hours,4–6 hours,yes,2,More than 30 hours,yes,moderate,8
08/02/2026 22:32:00,25,cycle d'ingénieur,5th,Industrial computer science,Less than 5 hours,More than 6 hours,no,3 or more,10–20 hours,no,moderate,8
04/04/2026 15:13:00,20,licence,3rd,Informatique de gestion,5–6 hours,Less than 2 hours,no,0,Less than 10 hours,no,low,2
27/03/2026 09:48:00,18,licence,2nd,Sociology,5–6 hours,4–6 hours,no,1,Less than 10 hours,yes,moderate,7
19/03/2026 12:36:01,23,mastère,2nd,Master pro en systeme de telecommunication et réseaux ,More than 8 hours,2–4 hours,no,2,10–20 hours,no,high,5
03/04/2026 13:57:00,20,licence,3rd,Mathematics,Less than 5 hours,4–6 hours,no,1,Less than 10 hours,yes,low,9
28/02/2026 12:04:00,17,licence,3rd,Psychology,7–8 hours,2–4 hours,yes,2,Less than 10 hours,yes,low,4
24/03/2026 03:36:00,24,cycle d'ingénieur,4th,Mechanical engineering,7–8 hours,4–6 hours,no,1,20–30 hours,no,moderate,4
22/02/2026 01:03:00,38,doctorat,1st,Materials science,More than 8 hours,More than 6 hours,no,0,10–20 hours,no,moderate,4
03/04/2026 12:03:00,19,licence,1st,Psychology,5–6 hours,2–4 hours,no,0,20–30 hours,no,high,10
26/01/2026 09:02:00,26,cycle d'ingénieur,1st,Telecommunications engineering,More than 8 hours,4–6 hours,yes,1,Less than 10 hours,yes,low,4
26/01/2026 22:58:00,20,licence,3rd,Law,7–8 hours,2–4 hours,yes,0,Less than 10 hours,yes,low,4
27/03/2026 23:42:00,23,cycle d'ingénieur,4th,Healthcare IT,Less than 5 hours,More than 6 hours,yes,1,20–30 hours,no,low,6
08/02/2026 09:14:00,22,licence,3rd,Law,7–8 hours,2–4 hours,yes,0,Less than 10 hours,yes,low,3
05/04/2026 19:54:00,21,licence,3rd,Sciences de gestion,7–8 hours,2–4 hours,no,1,10–20 hours,yes,moderate,7
04/02/2026 09:28:00,22,licence,3rd,Web development,7–8 hours,2–4 hours,yes,1,More than 30 hours,no,moderate,5
10/02/2026 14:28:00,21,cycle d'ingénieur,4th,Embedded systems,5–6 hours,More than 6 hours,no,2,Less than 10 hours,no,low,5
21/03/2026 12:44:10,22,cycle d'ingénieur,4th,Biomedical engineering ,7–8 hours,2–4 hours,no,2,10–20 hours,yes,moderate,7
06/02/2026 16:07:00,22,pharmacie,4th,Industrial pharmacy,7–8 hours,4–6 hours,no,3 or more,20–30 hours,no,high,5
19/04/2026 08:04:00,21,cycle d'ingénieur,4th,Healthcare IT,Less than 5 hours,More than 6 hours,yes,1,20–30 hours,no,low,7
13/04/2026 23:08:00,17,licence,2nd,Sciences de gestion,7–8 hours,Less than 2 hours,yes,1,10–20 hours,no,low,1
04/01/2026 18:32:00,22,licence,2nd,Law,More than 8 hours,2–4 hours,yes,3 or more,Less than 10 hours,yes,low,2
04/04/2026 16:24:00,21,préparatoire intégrée,2nd,Physics,7–8 hours,More than 6 hours,yes,1,More than 30 hours,no,moderate,5
10/03/2026 14:14:13,22,cycle d'ingénieur,1st,Biomedical Engineering,5–6 hours,Less than 2 hours,no,3 or more,Less than 10 hours,yes,moderate,10
15/03/2026 18:35:00,18,licence,1st,Philosophy,Less than 5 hours,2–4 hours,no,0,20–30 hours,no,high,8
13/03/2026 12:07:00,23,cycle d'ingénieur,4th,Industrial computer science,More than 8 hours,2–4 hours,yes,1,10–20 hours,no,low,1
15/03/2026 16:18:00,22,médecine,6th,Cardiology,7–8 hours,4–6 hours,no,3 or more,Less than 10 hours,no,low,9
13/03/2026 20:22:04,22,mastère,2nd,Business law master ,7–8 hours,4–6 hours,yes,1,20–30 hours,no,moderate,8
22/03/2026 08:41:34,20,licence,1st,Biotechnology ,Less than 5 hours,More than 6 hours,no,1,Less than 10 hours,no,moderate,10
01/05/2026 19:55:00,24,licence,2nd,Mathematics,5–6 hours,2–4 hours,no,2,Less than 10 hours,yes,moderate,4
18/03/2026 14:10:00,27,cycle d'ingénieur,5th,Software engineering,More than 8 hours,4–6 hours,yes,1,20–30 hours,no,low,2
29/03/2026 13:32:00,21,cycle d'ingénieur,4th,Biomedical engineering,More than 8 hours,2–4 hours,yes,2,Less than 10 hours,yes,low,1
09/02/2026 16:08:00,20,cycle d'ingénieur,1st,Software engineering,Less than 5 hours,2–4 hours,no,3 or more,More than 30 hours,no,high,5
01/02/2026 14:04:00,23,cycle d'ingénieur,3rd,Robotics,Less than 5 hours,More than 6 hours,yes,1,Less than 10 hours,yes,low,4
15/03/2026 15:46:00,20,préparatoire intégrée,2nd,Biology,More than 8 hours,4–6 hours,no,1,10–20 hours,no,moderate,6
07/03/2026 17:02:00,23,cycle d'ingénieur,5th,Data science,5–6 hours,2–4 hours,yes,1,Less than 10 hours,yes,moderate,9
16/03/2026 18:10:00,20,Bachelor degree at TBS,1st,Marketing,Less than 5 hours,4–6 hours,no,3 or more,10–20 hours,yes,high,9
22/02/2026 23:13:00,19,licence,3rd,Philosophy,7–8 hours,2–4 hours,yes,1,10–20 hours,no,high,6
19/01/2026 17:33:00,33,doctorat,3rd,Mathematics,Less than 5 hours,Less than 2 hours,no,3 or more,20–30 hours,yes,moderate,6
14/03/2026 13:06:00,22,médecine,2nd,Cardiology,More than 8 hours,2–4 hours,no,0,More than 30 hours,no,high,8
04/04/2026 02:58:00,29,cycle d'ingénieur,5th,Biomedical engineering,5–6 hours,4–6 hours,no,1,20–30 hours,yes,high,8
07/04/2026 12:51:00,22,cycle d'ingénieur,4th,Civil engineering,7–8 hours,4–6 hours,no,0,More than 30 hours,yes,high,6
15/03/2026 11:06:00,20,pharmacie,2nd,Pharmacology,5–6 hours,More than 6 hours,no,0,20–30 hours,yes,high,10
11/03/2026 00:20:52,20,cycle d'ingénieur,2nd,Telecommunications,5–6 hours,4–6 hours,yes,1,10–20 hours,yes,moderate,7
17/04/2026 06:00:00,26,cycle d'ingénieur,2nd,Cybersecurity,7–8 hours,4–6 hours,no,3 or more,20–30 hours,no,high,7
08/04/2026 16:18:00,19,licence,3rd,Économie,7–8 hours,4–6 hours,no,0,Less than 10 hours,yes,moderate,8
20/04/2026 08:17:00,28,mastère,2nd,AI & machine learning,7–8 hours,More than 6 hours,yes,2,More than 30 hours,yes,moderate,8
05/05/2026 03:56:00,26,licence,3rd,Network security,Less than 5 hours,4–6 hours,no,1,10–20 hours,no,high,1
31/01/2026 10:37:00,26,licence,1st,Marketing,5–6 hours,4–6 hours,yes,1,Less than 10 hours,yes,low,6
10/02/2026 22:37:00,17,pharmacie,1st,Industrial pharmacy,7–8 hours,4–6 hours,yes,0,20–30 hours,yes,moderate,8
12/03/2026 12:15:02,23,mastère,2nd,Graphic design,7–8 hours,4–6 hours,no,1,Less than 10 hours,no,moderate,7
17/03/2026 01:03:00,24,cycle d'ingénieur,4th,Telecommunications engineering,5–6 hours,2–4 hours,no,1,20–30 hours,yes,low,6
11/02/2026 02:51:00,26,mastère,1st,Cybersecurity,5–6 hours,4–6 hours,no,0,20–30 hours,yes,moderate,10
23/03/2026 09:38:00,25,cycle d'ingénieur,3rd,Industrial computer science,7–8 hours,Less than 2 hours,no,1,10–20 hours,no,moderate,4
04/02/2026 18:35:00,25,mastère,1st,Project management,7–8 hours,More than 6 hours,no,0,10–20 hours,no,low,3
06/02/2026 17:37:00,24,cycle d'ingénieur,1st,Data science,Less than 5 hours,4–6 hours,no,3 or more,Less than 10 hours,yes,moderate,9
27/03/2026 19:14:00,23,cycle d'ingénieur,5th,Cybersecurity,Less than 5 hours,2–4 hours,no,1,Less than 10 hours,no,high,10
20/04/2026 02:36:00,18,licence,2nd,Accounting,Less than 5 hours,4–6 hours,no,3 or more,20–30 hours,yes,high,10
16/04/2026 05:10:00,21,cycle d'ingénieur,4th,Data science,5–6 hours,2–4 hours,no,1,10–20 hours,no,high,6
22/01/2026 20:36:00,22,cycle d'ingénieur,5th,Software engineering,More than 8 hours,2–4 hours,yes,1,20–30 hours,no,low,2
31/01/2026 12:42:00,22,cycle d'ingénieur,3rd,Computer science,7–8 hours,2–4 hours,yes,1,Less than 10 hours,no,low,4
25/03/2026 02:10:00,22,préparatoire intégrée,2nd,Biology,Less than 5 hours,4–6 hours,no,2,More than 30 hours,yes,high,9
15/03/2026 22:10:00,29,doctorat,2nd,Architecture and urban planning,5–6 hours,More than 6 hours,no,1,More than 30 hours,no,high,8
19/01/2026 00:55:00,21,cycle d'ingénieur,5th,Mechanical engineering,7–8 hours,4–6 hours,no,1,Less than 10 hours,no,moderate,5
30/01/2026 21:52:00,21,cycle d'ingénieur,3rd,Telecommunications engineering,Less than 5 hours,4–6 hours,no,2,20–30 hours,yes,moderate,7
31/01/2026 07:53:00,21,licence,2nd,Physics,More than 8 hours,2–4 hours,yes,0,Less than 10 hours,no,low,1
05/04/2026 14:30:00,19,cycle d'ingénieur,2nd,Biomedical engineering,More than 8 hours,Less than 2 hours,no,1,10–20 hours,no,low,4
07/03/2026 12:11:00,19,pharmacie,1st,Industrial pharmacy,More than 8 hours,4–6 hours,no,0,10–20 hours,yes,low,3
22/02/2026 12:35:00,30,doctorat,2nd,Computer science,5–6 hours,More than 6 hours,yes,1,Less than 10 hours,yes,low,2
22/02/2026 20:32:00,21,cycle d'ingénieur,1st,Mechanical engineering,Less than 5 hours,More than 6 hours,yes,0,Less than 10 hours,no,low,3
21/03/2026 23:46:40,21,licence,2nd,Sc de gestion,7–8 hours,4–6 hours,yes,1,Less than 10 hours,no,low,1
04/01/2026 21:35:00,22,licence,3rd,Biotechnology,5–6 hours,2–4 hours,yes,1,Less than 10 hours,no,moderate,6
16/02/2026 05:48:00,22,cycle d'ingénieur,2nd,Mechanical engineering,More than 8 hours,2–4 hours,no,0,More than 30 hours,no,high,7
15/02/2026 18:13:00,28,cycle d'ingénieur,3rd,Biomedical engineering,5–6 hours,More than 6 hours,no,1,10–20 hours,no,moderate,8
24/02/2026 18:11:00,19,licence,2nd,Mathematics,More than 8 hours,4–6 hours,yes,2,Less than 10 hours,no,low,3
20/04/2026 19:56:00,28,mastère,1st,Graphic design,More than 8 hours,Less than 2 hours,no,1,20–30 hours,no,moderate,3
15/04/2026 04:03:00,19,mastère,1st,Environmental science,Less than 5 hours,More than 6 hours,yes,2,Less than 10 hours,yes,moderate,6
08/03/2026 18:45:06,21,cycle d'ingénieur,4th,Biomedical engineering ,Less than 5 hours,4–6 hours,yes,2,Less than 10 hours,no,low,8
29/04/2026 02:17:00,24,mastère,1st,Finance & banking,5–6 hours,4–6 hours,no,1,Less than 10 hours,no,moderate,6
17/03/2026 11:18:00,21,licence,3rd,Physics,7–8 hours,More than 6 hours,yes,3 or more,Less than 10 hours,yes,low,2
26/01/2026 20:41:00,20,licence,3rd,Law,7–8 hours,2–4 hours,yes,0,Less than 10 hours,yes,low,3
09/02/2026 16:42:00,26,mastère,1st,Graphic design,5–6 hours,More than 6 hours,no,2,20–30 hours,no,high,7
17/02/2026 02:08:00,20,cycle d'ingénieur,5th,Civil engineering,Less than 5 hours,4–6 hours,no,0,More than 30 hours,yes,high,6
03/03/2026 08:06:04,25,mastère,2nd,Business law master ,7–8 hours,4–6 hours,yes,1,20–30 hours,no,moderate,7
03/02/2026 09:32:00,20,médecine,2nd,Neurology,7–8 hours,More than 6 hours,no,3 or more,Less than 10 hours,yes,low,9
16/03/2026 20:25:00,19,médecine,2nd,Cardiology,5–6 hours,4–6 hours,yes,1,Less than 10 hours,yes,moderate,8
31/03/2026 06:18:00,21,cycle d'ingénieur,4th,Healthcare IT,Less than 5 hours,More than 6 hours,yes,1,20–30 hours,no,low,6
05/04/2026 18:24:00,23,cycle d'ingénieur,1st,Mechanical engineering,5–6 hours,More than 6 hours,yes,3 or more,Less than 10 hours,yes,low,5
03/03/2026 00:03:00,21,Bachelor degree at TBS,3rd,Entrepreneurship,Less than 5 hours,Less than 2 hours,no,1,10–20 hours,yes,moderate,8
12/03/2026 11:54:42,19,licence,1st,Sciences de gestion ,7–8 hours,4–6 hours,no,3 or more,10–20 hours,yes,moderate,6
19/04/2026 13:31:00,23,licence,2nd,History,Less than 5 hours,2–4 hours,no,0,10–20 hours,no,high,7
02/04/2026 05:24:00,27,cycle d'ingénieur,4th,Mechanical engineering,Less than 5 hours,2–4 hours,yes,2,More than 30 hours,yes,high,10
26/01/2026 06:14:00,19,cycle d'ingénieur,3rd,Embedded systems,5–6 hours,More than 6 hours,no,3 or more,20–30 hours,yes,moderate,6
09/02/2026 12:27:00,24,cycle d'ingénieur,2nd,Software engineering,More than 8 hours,4–6 hours,no,2,10–20 hours,no,high,1
30/01/2026 11:12:00,35,doctorat,2nd,Architecture and urban planning,Less than 5 hours,More than 6 hours,no,2,Less than 10 hours,no,moderate,5
25/03/2026 14:39:00,26,cycle d'ingénieur,3rd,Healthcare IT,Less than 5 hours,More than 6 hours,yes,0,10–20 hours,no,low,4
11/04/2026 18:27:00,18,préparatoire intégrée,1st,Computer science,5–6 hours,4–6 hours,yes,1,20–30 hours,yes,low,6
30/01/2026 20:22:00,20,cycle d'ingénieur,1st,Software engineering,Less than 5 hours,2–4 hours,no,3 or more,More than 30 hours,no,high,6
24/03/2026 02:02:00,21,cycle d'ingénieur,5th,Software engineering,5–6 hours,More than 6 hours,no,1,10–20 hours,no,moderate,7
06/05/2026 10:11:00,21,licence,2nd,Philosophy,More than 8 hours,4–6 hours,no,1,Less than 10 hours,no,moderate,3
30/04/2026 09:51:00,23,cycle d'ingénieur,3rd,Healthcare IT,5–6 hours,More than 6 hours,no,1,Less than 10 hours,no,moderate,4
20/03/2026 08:59:21,20,licence,1st,LAW ,7–8 hours,4–6 hours,yes,1,10–20 hours,no,moderate,4
21/02/2026 19:10:00,18,préparatoire intégrée,2nd,Computer science,Less than 5 hours,More than 6 hours,yes,3 or more,10–20 hours,yes,moderate,9
10/03/2026 04:57:00,17,préparatoire intégrée,2nd,Mathematics,7–8 hours,4–6 hours,no,2,10–20 hours,no,high,7
04/04/2026 17:38:00,24,cycle d'ingénieur,2nd,Computer science,Less than 5 hours,2–4 hours,no,3 or more,20–30 hours,yes,high,6
25/03/2026 12:51:00,21,licence,3rd,Informatique de gestion,7–8 hours,2–4 hours,no,3 or more,More than 30 hours,no,high,7
26/03/2026 16:32:00,24,cycle d'ingénieur,2nd,Healthcare IT,7–8 hours,4–6 hours,yes,0,10–20 hours,no,moderate,2
08/04/2026 09:51:00,19,licence,1st,Marketing,7–8 hours,2–4 hours,yes,2,Less than 10 hours,yes,high,6
01/02/2026 21:23:00,21,mastère,1st,Project management,5–6 hours,4–6 hours,yes,1,10–20 hours,yes,moderate,6
23/04/2026 04:34:00,28,médecine,3rd,Surgery,7–8 hours,4–6 hours,yes,1,Less than 10 hours,no,low,3
12/03/2026 21:34:00,24,licence,1st,English,Less than 5 hours,4–6 hours,no,1,10–20 hours,yes,high,10
11/01/2026 16:46:00,23,cycle d'ingénieur,3rd,Industrial computer science,7–8 hours,2–4 hours,yes,2,10–20 hours,yes,low,7
18/04/2026 16:10:00,26,licence,2nd,Accounting,7–8 hours,2–4 hours,yes,2,Less than 10 hours,no,low,4
20/02/2026 12:37:00,24,cycle d'ingénieur,3rd,Telecommunications engineering,7–8 hours,More than 6 hours,no,0,Less than 10 hours,no,high,5
30/03/2026 19:58:00,20,licence,3rd,Informatique de gestion,5–6 hours,Less than 2 hours,no,0,Less than 10 hours,no,low,2
27/02/2026 11:55:00,23,licence,2nd,Accounting,5–6 hours,4–6 hours,yes,3 or more,Less than 10 hours,yes,low,7
17/04/2026 10:29:00,20,préparatoire intégrée,1st,Biology,5–6 hours,2–4 hours,no,0,20–30 hours,yes,high,8
22/03/2026 07:31:00,19,préparatoire intégrée,1st,Mathematics,More than 8 hours,4–6 hours,yes,3 or more,20–30 hours,no,low,4
01/03/2026 11:35:00,22,licence,3rd,Web development,More than 8 hours,2–4 hours,yes,1,More than 30 hours,no,moderate,5
09/04/2026 22:40:00,20,mastère,1st,Environmental science,5–6 hours,More than 6 hours,yes,2,Less than 10 hours,yes,moderate,7
13/03/2026 01:09:00,18,préparatoire intégrée,2nd,Mathematics,Less than 5 hours,2–4 hours,no,2,More than 30 hours,yes,moderate,7
19/03/2026 05:39:00,21,licence,3rd,Physics,7–8 hours,More than 6 hours,yes,3 or more,Less than 10 hours,yes,low,2
03/03/2026 22:51:45,21,licence,1st,Administration des affaires ,5–6 hours,Less than 2 hours,no,1,Less than 10 hours,yes,moderate,5
22/04/2026 23:32:00,22,cycle d'ingénieur,3rd,Embedded systems,Less than 5 hours,2–4 hours,no,2,10–20 hours,yes,high,6
06/03/2026 07:46:06,22,cycle d'ingénieur,4th,Healthcare it,More than 8 hours,2–4 hours,no,2,Less than 10 hours,no,low,6
04/05/2026 11:26:00,32,doctorat,3rd,Computer science,More than 8 hours,2–4 hours,yes,1,Less than 10 hours,no,low,2
25/03/2026 20:53:52,21,cycle d'ingénieur,2nd,Telecommunications,5–6 hours,4–6 hours,yes,1,10–20 hours,yes,moderate,8
27/02/2026 16:08:00,23,licence,2nd,Psychology,5–6 hours,2–4 hours,no,1,20–30 hours,yes,high,9
31/01/2026 19:19:00,23,mastère,1st,Graphic design,Less than 5 hours,4–6 hours,no,0,More than 30 hours,yes,moderate,10
15/03/2026 06:46:00,21,pharmacie,2nd,Pharmacology,5–6 hours,More than 6 hours,no,0,20–30 hours,yes,high,10
20/03/2026 14:41:00,27,médecine,2nd,Pediatrics,Less than 5 hours,4–6 hours,no,1,10–20 hours,yes,high,9
07/03/2026 09:45:00,30,mastère,1st,Telecom & networks,Less than 5 hours,More than 6 hours,no,1,10–20 hours,yes,high,10
03/03/2026 04:18:34,19,licence,1st,Biotechnology ,Less than 5 hours,More than 6 hours,no,1,Less than 10 hours,no,moderate,10
02/02/2026 10:02:00,22,licence,2nd,Web development,7–8 hours,2–4 hours,no,2,More than 30 hours,yes,moderate,9
15/04/2026 01:53:00,24,cycle d'ingénieur,2nd,Healthcare IT,7–8 hours,4–6 hours,yes,0,10–20 hours,no,moderate,2
19/03/2026 02:51:00,22,licence,1st,Informatique de gestion,7–8 hours,2–4 hours,no,2,20–30 hours,yes,high,7
09/03/2026 10:01:00,19,licence,3rd,Chemistry,Less than 5 hours,More than 6 hours,no,3 or more,10–20 hours,yes,moderate,8
02/02/2026 15:25:00,22,licence,3rd,Web development,7–8 hours,2–4 hours,yes,1,More than 30 hours,no,moderate,5
24/02/2026 12:28:00,21,cycle d'ingénieur,2nd,Industrial computer science,Less than 5 hours,2–4 hours,no,1,10–20 hours,no,moderate,7
04/04/2026 01:51:00,20,cycle d'ingénieur,3rd,Telecommunications engineering,5–6 hours,4–6 hours,no,3 or more,20–30 hours,yes,moderate,7
29/04/2026 02:52:00,20,licence,3rd,Network security,7–8 hours,2–4 hours,no,3 or more,Less than 10 hours,no,moderate,7
21/02/2026 05:21:00,18,licence,1st,Psychology,7–8 hours,More than 6 hours,yes,1,Less than 10 hours,yes,low,2
10/04/2026 10:35:49,22,licence,2nd,IT,Less than 5 hours,More than 6 hours,no,3 or more,Less than 10 hours,yes,low,8
04/03/2026 20:43:00,26,cycle d'ingénieur,4th,Mechanical engineering,7–8 hours,4–6 hours,no,1,20–30 hours,no,moderate,3
15/03/2026 18:29:00,29,cycle d'ingénieur,5th,Telecommunications engineering,7–8 hours,2–4 hours,yes,2,10–20 hours,yes,high,6
23/04/2026 07:59:00,24,licence,1st,Informatique de gestion,7–8 hours,More than 6 hours,no,2,Less than 10 hours,no,low,3
05/04/2026 01:48:00,28,doctorat,2nd,Environmental science,5–6 hours,More than 6 hours,no,0,10–20 hours,no,high,7
29/03/2026 05:31:00,24,licence,2nd,Physics,5–6 hours,4–6 hours,no,2,20–30 hours,yes,moderate,6
05/02/2026 04:20:00,24,cycle d'ingénieur,5th,Industrial computer science,5–6 hours,More than 6 hours,no,3 or more,10–20 hours,no,moderate,8
07/04/2026 08:02:00,26,licence,3rd,Network security,Less than 5 hours,Less than 2 hours,no,2,20–30 hours,yes,moderate,8
24/02/2026 11:08:00,29,doctorat,3rd,Architecture and urban planning,7–8 hours,Less than 2 hours,yes,1,10–20 hours,no,low,2
20/03/2026 07:11:00,25,médecine,1st,Pediatrics,Less than 5 hours,More than 6 hours,no,3 or more,Less than 10 hours,yes,high,8
22/02/2026 09:05:00,25,licence,1st,Physics,Less than 5 hours,More than 6 hours,no,3 or more,20–30 hours,yes,high,9
10/02/2026 09:17:00,18,licence,2nd,Philosophy,5–6 hours,4–6 hours,no,2,10–20 hours,yes,moderate,8
18/04/2026 00:33:00,21,mastère,1st,Finance & banking,5–6 hours,4–6 hours,no,1,Less than 10 hours,no,moderate,6
13/03/2026 09:23:47,19,pharmacie,1st,Pharmacie,7–8 hours,4–6 hours,yes,0,Less than 10 hours,yes,moderate,5
01/02/2026 09:59:00,23,cycle d'ingénieur,3rd,Data science,5–6 hours,4–6 hours,yes,1,Less than 10 hours,yes,low,4
23/03/2026 00:40:00,23,licence,2nd,Web development,5–6 hours,4–6 hours,no,3 or more,10–20 hours,no,high,10
28/03/2026 09:41:00,27,cycle d'ingénieur,5th,Biomedical engineering,5–6 hours,4–6 hours,no,1,20–30 hours,yes,high,7
29/03/2026 13:32:00,22,cycle d'ingénieur,4th,Electrical engineering,7–8 hours,2–4 hours,no,0,20–30 hours,no,moderate,5
20/02/2026 23:07:00,18,licence,1st,Accounting,7–8 hours,4–6 hours,no,3 or more,10–20 hours,yes,high,8
07/05/2026 11:14:00,26,licence,1st,Informatique de gestion,7–8 hours,More than 6 hours,no,2,Less than 10 hours,no,low,3
13/02/2026 05:33:00,21,licence,3rd,Sciences de gestion,5–6 hours,2–4 hours,no,1,10–20 hours,no,low,1
20/03/2026 09:04:00,31,mastère,2nd,Project management,More than 8 hours,More than 6 hours,no,2,10–20 hours,yes,moderate,7
07/02/2026 03:19:00,32,doctorat,3rd,Materials science,Less than 5 hours,4–6 hours,no,2,20–30 hours,no,moderate,6
10/04/2026 20:47:00,22,cycle d'ingénieur,4th,Robotics,5–6 hours,More than 6 hours,no,1,10–20 hours,no,moderate,5
27/04/2026 09:12:00,32,doctorat,3rd,Computer science,More than 8 hours,2–4 hours,yes,1,Less than 10 hours,no,low,1
09/03/2026 19:04:00,25,mastère,1st,Data analytics,7–8 hours,2–4 hours,yes,0,20–30 hours,yes,moderate,9
31/03/2026 19:58:00,29,doctorat,2nd,Environmental science,5–6 hours,More than 6 hours,no,0,10–20 hours,no,high,7
02/02/2026 13:10:00,31,mastère,2nd,Finance & banking,7–8 hours,More than 6 hours,yes,0,Less than 10 hours,no,low,5
22/01/2026 21:53:00,24,cycle d'ingénieur,4th,Data science,5–6 hours,More than 6 hours,no,2,More than 30 hours,no,high,10
28/02/2026 05:52:00,21,Bachelor degree at TBS,3rd,Entrepreneurship,Less than 5 hours,Less than 2 hours,no,1,10–20 hours,yes,moderate,8
07/03/2026 20:37:00,24,cycle d'ingénieur,1st,Telecommunications engineering,7–8 hours,2–4 hours,no,2,10–20 hours,yes,moderate,8
14/04/2026 19:13:00,23,cycle d'ingénieur,5th,Software engineering,5–6 hours,More than 6 hours,no,1,10–20 hours,no,moderate,8
12/03/2026 18:00:00,26,mastère,1st,Environmental science,7–8 hours,Less than 2 hours,no,0,10–20 hours,yes,low,5
18/03/2026 02:45:06,23,cycle d'ingénieur,4th,Healthcare it,7–8 hours,2–4 hours,no,2,Less than 10 hours,no,low,6
22/02/2026 22:53:00,24,cycle d'ingénieur,5th,Data science,5–6 hours,2–4 hours,yes,1,Less than 10 hours,yes,moderate,9
10/04/2026 07:44:00,21,licence,2nd,Philosophy,More than 8 hours,4–6 hours,no,1,Less than 10 hours,no,moderate,3
01/03/2026 18:29:00,23,pharmacie,5th,Industrial pharmacy,7–8 hours,More than 6 hours,yes,3 or more,20–30 hours,no,low,1
11/03/2026 00:16:00,27,médecine,6th,General medicine,Less than 5 hours,2–4 hours,yes,1,20–30 hours,yes,moderate,7
20/01/2026 03:24:00,26,cycle d'ingénieur,4th,Healthcare IT,5–6 hours,2–4 hours,no,2,More than 30 hours,yes,high,10
24/02/2026 20:02:00,19,préparatoire intégrée,2nd,Mathematics,7–8 hours,4–6 hours,no,2,10–20 hours,no,high,7
26/02/2026 00:07:00,22,licence,1st,Accounting,7–8 hours,4–6 hours,yes,2,10–20 hours,yes,high,5
09/03/2026 04:22:00,28,médecine,2nd,Pediatrics,Less than 5 hours,4–6 hours,no,1,10–20 hours,yes,high,8
29/03/2026 23:45:00,22,cycle d'ingénieur,5th,Electrical engineering,Less than 5 hours,2–4 hours,no,0,20–30 hours,no,high,8
05/02/2026 17:51:00,18,pharmacie,1st,Industrial pharmacy,5–6 hours,4–6 hours,yes,0,20–30 hours,yes,moderate,8
24/03/2026 18:07:00,21,licence,1st,Économie,5–6 hours,More than 6 hours,no,1,More than 30 hours,no,high,9
11/04/2026 19:15:00,20,préparatoire intégrée,2nd,Physics,More than 8 hours,2–4 hours,no,1,20–30 hours,no,low,2
06/02/2026 02:00:00,21,cycle d'ingénieur,5th,Civil engineering,Less than 5 hours,4–6 hours,no,0,More than 30 hours,yes,high,6
04/03/2026 22:42:00,20,licence,2nd,Philosophy,More than 8 hours,4–6 hours,yes,1,10–20 hours,yes,moderate,10
01/02/2026 22:20:00,21,préparatoire intégrée,2nd,Engineering sciences,5–6 hours,2–4 hours,no,0,20–30 hours,no,low,4
28/03/2026 15:07:16,29,doctorat,1st,Architecture and urban planning,More than 8 hours,More than 6 hours,yes,3 or more,More than 30 hours,no,high,6
22/04/2026 18:48:00,19,médecine,6th,Pediatrics,Less than 5 hours,4–6 hours,yes,3 or more,More than 30 hours,yes,high,6
03/02/2026 23:01:00,21,cycle d'ingénieur,1st,Mechanical engineering,7–8 hours,More than 6 hours,yes,2,20–30 hours,yes,low,6
26/02/2026 10:31:00,26,licence,3rd,Sociology,5–6 hours,2–4 hours,yes,1,20–30 hours,no,moderate,1
04/04/2026 23:20:00,23,Bachelor degree at TBS,1st,Entrepreneurship,7–8 hours,More than 6 hours,yes,1,10–20 hours,no,moderate,6
26/01/2026 18:44:00,21,cycle d'ingénieur,5th,Software engineering,Less than 5 hours,4–6 hours,no,0,10–20 hours,no,moderate,5
24/02/2026 02:38:00,30,doctorat,1st,Architecture and urban planning,5–6 hours,4–6 hours,no,2,20–30 hours,yes,high,10
20/02/2026 06:52:00,27,mastère,1st,AI & machine learning,Less than 5 hours,2–4 hours,no,3 or more,10–20 hours,no,high,8
